Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Mexico,CO2 Emissions,1960-12-31T00:00:00,63116.404,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1961-12-31T00:00:00,65305.603,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1962-12-31T00:00:00,63809.467,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1963-12-31T00:00:00,66361.699,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1964-12-31T00:00:00,74278.752,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1965-12-31T00:00:00,75246.84,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1966-12-31T00:00:00,80930.69,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1967-12-31T00:00:00,90101.857,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1968-12-31T00:00:00,93988.877,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1969-12-31T00:00:00,102287.298,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1970-12-31T00:00:00,114073.036,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1971-12-31T00:00:00,126339.151,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1972-12-31T00:00:00,132459.374,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1973-12-31T00:00:00,144292.783,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1974-12-31T00:00:00,155007.757,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1975-12-31T00:00:00,164472.284,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1976-12-31T00:00:00,184138.405,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1977-12-31T00:00:00,192847.53,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1978-12-31T00:00:00,222649.239,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1979-12-31T00:00:00,240874.229,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1980-12-31T00:00:00,268453.736,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1981-12-31T00:00:00,284529.864,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1982-12-31T00:00:00,304837.71,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1983-12-31T00:00:00,278442.644,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1984-12-31T00:00:00,277624.903,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1985-12-31T00:00:00,288501.225,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1986-12-31T00:00:00,294559.109,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1987-12-31T00:00:00,307356.939,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1988-12-31T00:00:00,307067.246,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1989-12-31T00:00:00,361877.895,Yearly,MEX.EN.ATM.CO2E.KT,2022-08-11T14:39:00
Mexico,CO2 Emissions,1990-12-31T00:00:00,289980,Yearly,MEX.EN.ATM.CO2E.KT,2024-07-10T11:41:00
Mexico,CO2 Emissions,1991-12-31T00:00:00,329716.353,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
Mexico,CO2 Emissions,1992-12-31T00:00:00,333049.712,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
Mexico,CO2 Emissions,1993-12-31T00:00:00,338075.107,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
Mexico,CO2 Emissions,1994-12-31T00:00:00,360853.348,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
Mexico,CO2 Emissions,1995-12-31T00:00:00,347496.645,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
Mexico,CO2 Emissions,1996-12-31T00:00:00,360698.316,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
Mexico,CO2 Emissions,1997-12-31T00:00:00,381504.327,Yearly,MEX.EN.ATM.CO2E.KT,2023-02-02T03:18:00
